,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
10,1PLUS,Black,Adult,"Digital Display, Dual Braking System, Cruise Control, Foldable",220 Pounds,6,S10,Rubber,Aluminum,15.17 Kilograms,Adjustable,,10 Inches,Solid,Dual Suspension,,Rear Braking,,5 Hours,,,44.25 x 20.75 x 5.75 inches,15.17 Kilograms,1PLUS,2 year manufacturer,Aluminum,unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S10,"10""(600w)",1,"10"" (500W)",,399,"Electric Scooter 10"" Solid Tires 600W Peak Motor Up to 20Miles Range and 19Mph Speed for Adults - Portable Folding Commuting Scooter with Double Braking System and App",4.6,,,,,,,,,,1,4.99 x 42 x 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NAVIC,Black-gray,Adult,Foldable,264 Pounds,2,T5,Rubber,,31 Pounds,Adjustable,,8.5 Inches,Solid,Dual Suspension,,Dual braking,SaraJohnsonslina@outlook.com,4 Hours,,31 Kilometers,43.6 x 20.6 x 6.4 inches,15.63 Kilograms,NAVIC,2,Aluminum,Unisex-adult,"HUIZHOU ELEVEN TECHNOLOGY CO.,LTD",XM-BLK-SBN023,City Commute Escooter,1,,,389,"NAVIC T5 Electric Scooter, Up to 19 Miles Range, 19 Mph Folding Commute Electric Scooter for Adults with 8.5"" Solid Tires, Dual Braking System and App Control",4.2,,,,,,,,,,,42.13 x 16.93 x 18.11 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,URBANMAX,Black,Adult,"Digital Display, Dual Braking System, Lightweight, Wide Platform, Foldable",265 Pounds,2,C1,Rubber,Iron,42.77 Pounds,Fixed,38.66 Inches,12 Inches,Pneumatic,,Contoured,Rear Braking,Extended,5 Hours,"48.8""L x 18.9""W x 38.66""H",22 Miles,24.76 x 21 x 9.8 inches,22.68 Kilograms,URBANMAX,"6-month for battery, 1-year for other parts",Iron,Unisex-adult,URBANMAX,C1,C1,"Electric scooter, Allen keys, Manual, Charger",,,359,"URBANMAX C1 Electric Scooter with Seat, 450W Powerful Motor up to 22 Miles Range, Foldable Electric Scooter for Adults Max Speed 15.5 Mph, Electric Scooter for Commuting with Basket",4.4,Commuting,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Caroma,Blue 150W,Kids,"Rechargable, Non Slip Deck, Lights, Adjustable Handlebar Height, Wide Platform, portable, foldable, lightweight",132 Pounds,2,E35,Rubber,Aluminum,13.7 Pounds,Adjustable,37 Inches,6 Inches,Solid,,Adjustable,Rear Braking,,,"33.1""L x 15.4""W x 37""H",,30.51 x 12.09 x 6.89 inches,16.5 Pounds,Caroma,,Aluminum,unisex,"Guangdong Qiude Health Technology Co., Limited",,,"1x Tool Kit, 1x Electric Scooter, 1x Charger, 1x User Manual","33.1 x 15.4 x 37""",,149,"Caroma E35 Electric Scooter for Kids Ages 8+, 150W Kids Electric Scooter, Up to 10 MPH & 7 Miles, Colorful Lights, LED Display, Adjustable Height, Foldable Electric Scooter for Kids and Teens",& FREE Shipping,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Gotrax,Matt Black,Adult,Foldable,264 Pounds,2,G4,Aluminum,Aluminum,37.5 Pounds,Fixed,47 Inches,10 Inches,Pneumatic,Front Suspension,Ergonomic,EABS + Disc Braking,Limited,6 Hours,"44.4""L x 18.5""W x 48.3""H",25 Miles,45 x 20.75 x 8 inches,19.89 Kilograms,Gotrax,365 day limited warranty,Aluminum,unisex-adult,"ZHEJIANG TAOTAO VEHICLES CO., LTD",G4,25 miles,"user manual, charger, scooter",Matt Black,Skating,499,"Gotrax G4 Series Electric Scooter -10"" Pneumatic Tires, 25/42/45 Miles Range, 20Mph Power by 500W Motor, Double Anti-Theft Lock and Cruise Control for Foldable Commuter E-Scooter for Adult",4.3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,TODO,BLACK,Adult,Foldable,110 Kilograms,2,S2,Rubber,,30 Pounds,Fixed,,7 Inches,Solid,Dual Suspension,,Front Braking,Limited,6 Hours,"41""L x 16.5""W x 45""H",18 Miles,46.1 x 14.6 x 7.5 inches,15.88 Kilograms,TODO,3 months for quality replacement,Iron,Unisex-adult,ZheJiang AnShang Robot Co. LTD,S2,,Charger、toolkit、scooter,adult-friendly,,209,"Electric Scooter,TODO Foldable Electric Scooter for Adults, Max 15MPH,8.5"" Solid Tires,Range12-19Mile 400W(Peak) Powerful E-Scooter with Dual Brakes, Smart APP&Dual Brake System (Black)",3.9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Segway,Black&Grey,Adult; Teen,Foldable,220 Pounds,2,Segway Ninebot D18W KickScooter,Rubber,Aluminum,31.75 Pounds,Adjustable,45.7 Inches,10 Inches,,Dual Suspension,,electronic front brake; rear drum brake,Limited,3.5 Hours,"45""L x 18.9""W x 45.7""H",11.2 Miles,48 x 20.3 x 8.3 inches,18.17 Kilograms,Segway,1 year manufacturer,Aluminum,unisex-adult,"Ninebot (Changzhou) Tech Co., Ltd",D18W,D18W,"scooter, charger, accessory box","45 x 18.9 x 45.7""",,299,"Segway Ninebot Electric KickScooter, D18W/D28U Powered by 250W & 300W Motor, 17.4 Miles Range & 11.2-15.5 MPH, 10"" Pneumatic Tire, Drum Brake, Commuting Electric Scooter for Adults",4.2,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,iScooter,Black,Adult,"APP Controller, Non Slip Deck, foldable, Double braking system(Electronic brake+disc brake)",264 Pounds,2,I9,Rubber,,10.9 Kilograms,Fixed,,8.5 Inches,Pneumatic,,Ergonomic,"Front Braking, Rear Braking",Limited,6 Hours,"42""L x 17""W x 44""H",18 Miles,43.75 x 21 x 6.5 inches,13.47 Kilograms,iScooter,,Aluminum,Ages 14 and up,,,"i9(350W, 18miles)",i9 Electrcic Scooter,,,299,"iScooter Electric Scooter,22/18 Miles Range, 18.6/15.6 MPH, 500/350W Foldable Commuting Electric Scooter with Double Braking System and APP for Adults, Teens",4.1,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,TYOKUM,Light black red,Adult,"Braking System, Lights, Lightweight, Foldable, Lockable",264 Pounds,2,,Rubber,,,,,8.5 Inches,Solid,,,Rear Braking,,4 Hours,,21 Miles,,,TYOKUM,,Aluminum,unisex-adult,TYOKUM,,street commuting electric scooter,,,,199,"Electric Scooter for Adults Teens,350W Electric Scooter Up to 19MPH & 19-21Miles Range Sport Foldable Scooter Double Braking Electric Scooters for Commuter,8.5"" Tires Electric Scooter for Adults",4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aovopro,,Adult,Portable,300 Pounds,2,ESMAX,Rubber,,41 Pounds,Adjustable,76 Centimeters,,,,,,,7 Hours,"49""L x 8.5""W x 25""H",28 Miles,47 x 24.8 x 8.2 inches,23.59 Kilograms,Aovopro,,,,,,,,,,539,"Aovopro ESMAX Electric Scooter, 27 Miles Range, Upgraded 500W Motor, 21 MPH Speed,10"" Anti-Puncture Self-Sealing Air Tyre, Portable Commuting Electric Scooter for Adults",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Greevego,Black、White,Adult,"Non Slip Deck, Lights, Wide Platform, Foldable",264 Pounds,2,DY8501,Rubber,,26 Pounds,Fixed,,8.5 Inches,Solid,Dual Suspension,,Rear Braking,,5 Hours,,19 Miles,44.2 x 20.27 x 6.4 inches,15.11 Kilograms,Greevego,GREEVEGO Guarantees some Parts of DY01 for 1 Year. We have a Professional After-Sales Team. GREEVEGO will put quality and service first.,Aluminum,unisex-adult,"Dongguan Daoyuan Automobile Co.,Ltd",,DY01,"Electric scooter 2L special bag, Tool、Manual、Warranty Card, Charger","DY01-8.5""",,368,"Greevego Electric Scooter，350W Motor，Up to 19MPH，17-19 Miles Long-Range Portable Folding Commuter E-Scooter for Adults，8.5"" Honeycomb Solid Tires，Dual Braking System & Adjustable Speed App",4.4,,,,,,,,,,1,45.2 x 16.9 x 43.7 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,VOLPAM,,,"Dual Braking System, Cruise Control, Dual suspension, Wide Platform, Turn signal light",120 Kilograms,2,SPT7,Rubber,,17.82 Kilograms,Fixed,,8.5 Inches,,Dual Suspension,,Front Braking,Limited,,,,43.25 x 22.5 x 7 inches,17.82 Kilograms,VOLPAM,1 year warranty,Aluminum,unisex-adult,"Yongkang Moxi Technology Co.,Ltd",,8.5'' with dual suspension,"user manual, electric scooter",,,419,"VOLPAM Electric Scooter with Dual Suspension, 500/350W Motor, Max 27/20 Miles Long-Range, 21/19 Mph Top Speed, Portable Folding Commuting Scooter with Double Braking System and App",4.2,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gotrax,Black,Adult,"Portable, Seat, Basket, Foldable",264 Pounds,2,Flex,Rubber,High-strength Steel,39.6 Pounds,Fixed,,14 Inches,"14"" pneumatic tires",Dual Rear Suspensions,,Dual Drum Brakes,Limited,,,16 Mils,48.03 x 22.44 x 9.84 inches,26.5 Kilograms,Gotrax,The Limited 180 Day Warranty only covers parts or issues due to manufacturer defects,High-strength Steel,unisex-adult,"ZHEJIANG TAOTAO VEHICLES CO.,LTD",FLEX,400W 16Miles Black,"charger, scooter",Black,,399,"Gotrax FLEX Electric Scooter with Seat for Adult, 16 Miles Range &15.5Mph Power by 400W Motor, 14"" Pneumatic Tire&Height Adjustable Seat, Foldable Commuter Scooter with Phone Holder, Hook&Carry Basket",4.4,,,,,,,,,,1,45 x 18.5 x 49 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Segway,Dark Grey,Adult,"Lightweight, Foldable",220 Pounds,2,Ninebot E22/E25/E45 Electric KickScooter,Rubber,,13.5 Kilograms,Adjustable,44.1 Inches,9 Inches,Dual Density Tires,"Dual,rear suspension",,Electric Brake + Mechanical Brake,,3.5 Hours,"42.9""L x 16.5""W x 44.1""H",12.4 Miles,44.56 x 20.3 x 7.5 inches,16.53 Kilograms,Segway,1 year manufacturer,Aluminum,Unisex-adult,"Ninebot (Changzhou) Tech Co., Ltd",E22,E22,"Scooter, Charger, tool bag",Large,,349,"Segway Ninebot E22/E25/E45 Electric KickScooter, 300W Motor, 13.7-28 Miles Range & 12.4-18.6 MPH, 9"" Dual Density Tires, E-ABS Electronic Brake, Commuter E-Scooter for Adults",4.3,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gotrax,Black,Adult,Foldable,220 Pounds,2,APEX XL,Aluminum,,32.1 Pounds,Fixed,19 Inches,8.5 Inches,Inflatable Rubber TIre,Dual Suspension,Ergonomic,Rear Braking,Limited,4 Hours,"44.29""L x 18.7""W x 45.59""H",15 Miles,40.2 x 15.18 x 8.25 inches,16.69 Kilograms,Gotrax,365 day limited warranty,Aluminum,unisex-adult,"ZHEJIANG TAOTAO VEHICLES CO., LTD",GT-GXV2-SIL,Black,"Scooter, Charger, User manual","43.3"" x 17.1"" x 14.6""",,319,"Gotrax APEX Series Electric Scooter, 8.5"" Pneumatic Tire, 15(Max Ver 17) Miles and 250W up 15.5mph(Max Ver 350W 18mph),Max Ver Double Rear Suspension with Headlight&Taillight Foldable Escooter Adult",4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NIU,KQi3 Pro Black,Adult,"Portable, Foldable",220 Pounds,2,KQi3 Pro,Rubber,Aluminum,20.3 Kilograms,Adjustable,45.6 Inches,9.5 Inches,Pneumatic,Dual Suspension,,Front Mechanical Disc Brake & Rear Electric Brake + Mechanical Disc Brake,Limited,6 Hours,"20""L x 9""W x 42""H",31 Miles,77.17 x 49.21 x 10.63 inches,28.2 Kilograms,NIU,2,Aluminum,unisex-teen,"Jiangsu Niu Electric Technology Co., Ltd",KQi3 Pro,KQi3 Pro Black,"1*Electric Scooter,1*Charging Cable",KQi3 Pro,,559,"NIU Electric Scooter for Adults - KQi3 Pro with 350W Power, 31 Miles Long Range, Max Speed 20MPH, Wider Deck, Triple Braking System, 9.5'' Tubeless Fat Tires, Portable & Folding, UL Certified",4.1,,,,,,,,,,1,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Isinwheel,Black,Adult,700W Peak Power/ Rear Dual Suspension/ Dual Braking System/ 8.5-inch Pneumatic Tires/ Foldable Electric Scooter,220 Pounds,2,E9T,Rubber,Aluminum,26 Pounds,Fixed,45 Inches,8.5 Inches,8.5 Inch Pneumatic Tires,Rear Suspension,Ergonomic,Disc brake & EABS anti-lock brake,isinwheel Warranty,5 Hours,"42""L x 17""W x 44.8""H",18 Miles,45.67 x 21.26 x 6.3 inches,15.42 Kilograms,Isinwheel,"ISinwheel Warranty At iSinwheel , the electric scooters come with a One-year for the E-scooter or 180-day for different parts (like the motor and battery) warranty that is non-transferable after the product’s initial sale. iSinwheel electric scooter offers 7-day no-reason return on condition that there is no human damage and no stains. If shipping damage occurs, please contact us support@isinwheel.com and provide us with photo or video proof. iSinwheel is committed to providing quality items and service.",Aluminum,Unisex-adult,"Wuyi Jinyue Engine Science and Technology Co., Ltd.",,18Miles-S9 Pro,Electric Scooter & User Manual & Quick Start & Charger & Charging cable & Inflatable Inner Tube,,,379,"isinwheel Electric Scooter 18-22 Miles Long Range and 15-21 MPH Portable Folding Commuting Scooter for Adults, Dual Suspension & Brakes, App and Optional Scooter Bag",4.3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NIU,Grey,Adult,"Portable, Foldable",220 Pounds,2,KQi2 Pro,Rubber,Aluminum,18.2 Kilograms,Adjustable,46.3 Inches,10 Inches,Rubber Tubeless tires,Dual Suspension,,Rear Braking,Limited,7 Hours,"44.25""L x 6.85""W x 48.03""H",25 Miles,47 x 22 x 9 inches,24.94 Kilograms,NIU,2 years,Alloy Steel,unisex-adult,"Jiangsu Niu Electric Technology Co., Ltd",KQi2 Pro,Adults-KQi2 Pro Grey,Mounting accessories,Adults-KQi2 Pro Grey,,419,"NIU Electric Scooter for Adults/Teens/Kids; 25miles/ 15.5miles/ 7.1miles Long-Range Lightweight Portable E-Scooter, UL Certified",3.8,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,EVERCROSS,Black,Adult,Seat,330 Pounds,2,H5,Rubber,Alloy Steel,64 Pounds,Adjustable,38.7 Inches,10 Inches,Solid,Dual Suspension,,Rear Braking,,7 Hours,"49.6""L x 12.6""W x 45.6""H",28 Miles,49 x 17 x 12 inches,29.03 Kilograms,EVERCROSS,2,Alloy Steel,unisex-adult,"Yongkang Sumeide Industry and Trade Co., Ltd.",H5,H5（10.4AH）,1,,,589,"EVERCROSS H5 Folding Electric Scooter, for Adults with 800W Motor, Up to 28MPH & 25 Miles-10'' Solid Tires, with Seat & Dual Braking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Caroma,9″ Glossy Black 350W,Adult,"Non Slip Deck, Lights, Wide Platform, Foldable",265 Pounds,2,E22 PRO,Rubber,Aluminum,34.7 Pounds,Adjustable,45.7 Inches,9 Inches,Solid,Rear Suspension,Ergonomic,"Front Braking, Rear Braking",,,"43.3""L x 18.5""W x 45.7""H",20 Miles,43.7 x 15.75 x 9.45 inches,42.7 Pounds,Caroma,,Aluminum,Unisex,"Guangdong Qiude Health Technology Co., Limited",,9″Glossy Black 350W,"1x Tool Kit, 1x Electric Scooter, 1x Charger, 1x User Manual","43.3 x 18.5 x 45.7""",,199,"Caroma E22 Pro Electric Scooter, 350W Motor, 9"" Solid Tires Electric Scooter for Adults, 20 Miles Range & 15.5 Mph, Foldable Commuting Scooter with Dual Braking System & BMS, Adjustable Height, Lights",4.6,"Off Road, Commuting",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,JOYOR,S5-800W,Adult,Foldable,265 Pounds,2,S series,Aluminum,,48.7 Pounds,Adjustable,39 Inches,10 Inches,Aluminum alloy wheels,Dual Suspension,,Dual Disk Brake System,Limited,8 Hours,"48""L x 24""W x 48""H",34 Miles,46.75 x 20.5 x 9.5 inches,27.67 Kilograms,JOYOR,"3 months - 1 year warranty for different parts, please refer to the user manual for details.",Aluminum,Unisex-adult,"JINHUA JOYOR VEHICLE CO.,LTD",,S5,"Electric scooters, instructions, installation tools",,,699,"JOYOR S Electric Scooter, Dual 1000W Motor Scooter for Adults Up to 37 MPH & 54 Miles Ranges,Dual Disk Brake System & Shock Absorption 10"" Soild Tires Adults Electric Scooter",,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
